"session_id","time_start","time_end","year","make","model","time_q_year","time_q_make","time_q_model","time_p_page1","time_p_end","current_page","trim","odometer","range_oem","range_charged","open","time_q_trim","time_q_odometer","time_q_range_oem","time_q_range_charged","time_q_open","time_p_mileage","model_custom","time_q_model_custom"
"09c0070935066e19124f7bc0852de279","2025-02-06 16:06:14 UTC","2025-02-06 16:06:38 UTC",2023,"Chevrolet","K1500 Tahoe 4wd","2025-02-06 16:06:19 UTC","2025-02-06 16:06:26 UTC","2025-02-06 16:06:27 UTC","2025-02-06 16:06:14 UTC","2025-02-06 16:06:28 UTC","end","",,,,,"","","","",,"",,
"96ad597fa836c558ae692c020089b571","2025-02-28 20:26:31 UTC","2025-02-28 20:26:35 UTC",,"","","","","","2025-02-28 20:26:31 UTC","","","",,,,,"","","","",,"",,
"24cb1199fdf69109137dc970a2244007","2025-02-28 20:27:09 UTC","2025-02-28 20:27:34 UTC",2019,"BMW","","2025-02-28 20:27:19 UTC","2025-02-28 20:27:21 UTC","2025-02-28 20:27:30 UTC","2025-02-28 20:27:09 UTC","","","",,,,,"","","","",,"",,
"3c5d8ac874fe7ee18d7a00b2a00b6b5c","2025-02-28 20:28:38 UTC","2025-02-28 20:28:42 UTC",,"","","","","","2025-02-28 20:28:38 UTC","","","",,,,,"","","","",,"",,
"d607fc67d21bb89d90694027ef7047ce","2025-02-28 20:31:23 UTC","2025-02-28 20:31:34 UTC",,"","","","","","2025-02-28 20:31:23 UTC","","","",,,,,"","","","",,"",,
"2bbb5997b7e9a9173334a89fb40a4b62","2025-02-28 20:31:50 UTC","2025-02-28 20:32:17 UTC",2024,"MINI","Hardtop 2 Door","2025-02-28 20:31:52 UTC","2025-02-28 20:32:10 UTC","2025-02-28 20:32:12 UTC","2025-02-28 20:31:50 UTC","","","Cooper SE",,,,,"2025-02-28 20:32:13 UTC","","","",,"",,
"ece9514eb642c356ad5dbf647ebb9db9","2025-02-28 20:32:27 UTC","2025-02-28 20:33:00 UTC",2023,"BMW","iX","2025-02-28 20:32:34 UTC","2025-02-28 20:32:40 UTC","2025-02-28 20:32:41 UTC","2025-02-28 20:32:27 UTC","","mileage","xDrive50",54000,150,350,,"2025-02-28 20:32:42 UTC","2025-02-28 20:32:50 UTC","2025-02-28 20:32:55 UTC","2025-02-28 20:32:58 UTC",,"2025-02-28 20:32:44 UTC",,
"e942daf847ba9fd3ffdff1acbd3bdbb7","2025-02-28 20:36:18 UTC","2025-02-28 20:37:14 UTC",,"","","","","","2025-02-28 20:36:18 UTC","","","",,,,,"","","","",,"",,
"fe0cded06a6c411b43be8c1c519b7470","2025-02-28 20:37:29 UTC","2025-02-28 20:37:38 UTC",,"","","","","","2025-02-28 20:37:29 UTC","","","",,,,,"","","","",,"",,
"115f079f0aa99950d1936380e66c0127","2025-02-28 20:38:25 UTC","2025-02-28 20:39:02 UTC",2024,"Hyundai","Ioniq Electric","2025-02-28 20:38:32 UTC","2025-02-28 20:38:34 UTC","2025-02-28 20:38:36 UTC","2025-02-28 20:38:25 UTC","2025-02-28 20:38:52 UTC","end","SE",,,,,"2025-02-28 20:38:37 UTC","","","",,"2025-02-28 20:38:38 UTC",,
"95e05fed75682954aa0de21c2fc3a125","2025-02-28 20:41:51 UTC","",,"","","","","","2025-02-28 20:41:51 UTC","","","",,,,,"","","","",,"",,
"8408aa9c91f1d1a9d59050a4be116f4c","2025-02-28 21:00:12 UTC","2025-02-28 21:04:59 UTC",2021,"Hyundai","IONIQ 6","2025-02-28 21:00:23 UTC","2025-02-28 21:00:24 UTC","2025-02-28 21:00:25 UTC","2025-02-28 21:00:12 UTC","2025-02-28 21:04:57 UTC","end","SE Standard Range",,,,,"2025-02-28 21:00:26 UTC","","","",,"2025-02-28 21:00:28 UTC",,
